unity,bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
KHz,14-19.95-KHz,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 14-19,95 kHz. Cf. no 5.57 du RR."
KHz,14-19.95-KHz,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 14-19,95 kHz. Cf. no 5.57 du RR."
KHz,19.95-20.05-KHz,FRÉQUENCES ÉTALON ET SIGNAUX HORAIRES (,,,,,"Application de l’Article 26 du RR. Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,20.05-70-KHz,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 20,05-70 kHz. Cf. no 5.57 du RR."
KHz,20.05-70-KHz,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 20,05-70 kHz. Cf. no 5.57 du RR."
KHz,70-72-KHz,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,72-84-KHz,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
KHz,72-84-KHz,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
KHz,72-84-KHz,RADIONAVIGATION,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
KHz,84-86-KHz,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,86-90-KHz,FIXE,,,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
KHz,86-90-KHz,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
KHz,86-90-KHz,RADIONAVIGATION,,,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
KHz,90-110-KHz,RADIONAVIGATION,5.62,Les administrations qui exploitent des stations du service de radionavigation dans la bande 90-110 kHz sont instamment priées d'en coordonner les caractéristiques techniques et d'exploitation de manière à éviter des brouillages préjudiciables aux services assurés par ces stations.,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,90-110-KHz,Fixe,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,110-112-KHz,FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,110-112-KHz,MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,110-112-KHz,RADIONAVIGATION,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,112-115-KHz,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"115-117,6-KHz",RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"115-117,6-KHz",Fixe,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"115-117,6-KHz",Mobile maritime,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"117,6-126-KHz",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"117,6-126-KHz",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"117,6-126-KHz",RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,126-129-KHz,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,129-130-KHz,FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,129-130-KHz,MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,129-130-KHz,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,"130-135,7-KHz",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"130-135,7-KHz",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"135,7-137,8-KHz",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"135,7-137,8-KHz",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"135,7-137,8-KHz",Amateur,5.67A,"La puissance rayonnée maximale des stations du service d'amateur utilisant des fréquences dans la bande 135,7-137,8 kHz ne doit pas dépasser 1 W (p.i.r.e.) et ces stations ne doivent pas causer de brouillage préjudiciable aux stations du service de radionavigation exploitées dans les pays énumérés au numéro 5.67. (CMR-07)",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"137,8-148,5-KHz",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
